id,name,IDENTITY,EYE,HAIR,SEX,ALIVE,AT LARGE,FIRST APPEARANCE,Year
1142,Helmut Zemo (Earth-616),Public Identity,Blue Eyes,Blond Hair,Male Characters,Living Characters,No,Dec-73,1973
1576,Ultron (Earth-616),No Dual Identity,Red Eyes,No Hair,Male Characters,Deceased Characters,No,Jul-68,1968
2715,Quentin Beck (Earth-616),Secret Identity,Blue Eyes,Bald,Male Characters,Living Characters,Yes,Jun-64,1964
2065,Ophelia Sarkissian (Earth-616),Secret Identity,Green Eyes,Black Hair,Female Characters,Living Characters,Yes,Feb-69,1969
1809,Hela (Earth-616),Secret Identity,Green Eyes,Black Hair,Female Characters,Deceased Characters,No,Mar-64,1964
1760,Henry Gyrich (Earth-616),No Dual Identity,Green Eyes,Red Hair,Male Characters,Living Characters,Yes,Nov-77,1977
2178,Harvey Elder (Earth-616),Secret Identity,Brown Eyes,Grey Hair,Male Characters,Living Characters,No,Nov-61,1961
1140,Wolfgang von Strucker (Earth-616),Public Identity,Blue Eyes,Bald,Male Characters,Deceased Characters,No,Jan-64,1964
2015,Dirk Garthwaite (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,No,Jan-68,1968
1874,Miles Warren (Earth-616),Secret Identity,Green Eyes,No Hair,Male Characters,Living Characters,Yes,Dec-65,1965
1084,En Sabah Nur (Earth-616),Public Identity,Red Eyes,Black Hair,Male Characters,Deceased Characters,No,Jun-86,1986
2168,Calvin Zabo (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Dec-63,1963
1226,Frederick Myers (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Jul-66,1966
119342,Veranke (Earth-616),No Dual Identity,Green Eyes,Green Hair,Female Characters,Deceased Characters,No,Jan-05,2005
2170,Nathaniel Essex (Earth-616),Secret Identity,Red Eyes,Black Hair,Male Characters,Living Characters,Yes,Sep-87,1987
1958,Samuel Sterns (Earth-616),Public Identity,Red Eyes,Black Hair,Male Characters,Deceased Characters,No,Dec-64,1964
2494,Peter Petruski (Earth-616),Secret Identity,Brown Eyes,Bald,Male Characters,Living Characters,Yes,Jan-63,1963
2067,Giuletta Nefaria (Earth-616),Secret Identity,Grey Eyes,Black Hair,Female Characters,Living Characters,Yes,Jan-68,1968
1316,Dmitri Smerdyakov (Earth-616),Secret Identity,Variable Eyes,Variable Hair,Male Characters,Living Characters,Yes,Mar-63,1963
9967,Eliot Franklin (Thunderball) (Earth-616),Public Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Nov-74,1974
2072,Madelyne Pryor (Earth-616),Public Identity,Green Eyes,Red Hair,Female Characters,Living Characters,No,Apr-83,1983
101355,Adolf Hitler (Earth-616),No Dual Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Sep-40,1940
2543,Herman Schultz (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Mar-67,1967
2320,Chen Lu (Earth-616),Secret Identity,Brown Eyes,Bald,Male Characters,Living Characters,Yes,Jun-63,1963
1933,Ulysses Klaw (Earth-616),Public Identity,Red Eyes,Bald,Male Characters,Deceased Characters,No,Aug-66,1966
2175,George Tarleton (Earth-616),Public Identity,White Eyes,Brown Hair,Male Characters,Living Characters,No,Sep-67,1967
7991,Burglar (Earth-616),Public Identity,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,No,Aug-62,1962
2225,Nightmare (Earth-616),Secret Identity,Black Eyes,Black Hair,Male Characters,Living Characters,No,Jul-63,1963
2061,Mad Thinker (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,Yes,Jun-63,1963
2737,Brian Calusky (Earth-616),Public Identity,Blue Eyes,Blond Hair,Male Characters,Living Characters,Yes,Nov-74,1974
1464,Dormammu (Earth-616),No Dual Identity,Yellow Eyes,No Hair,Male Characters,Living Characters,No,Nov-64,1964
37620,Cletus Kasady (Earth-616),Public Identity,Green Eyes,No Hair,Male Characters,Living Characters,Yes,Feb-91,1991
4011,Brock Rumlow (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Oct-89,1989
2125,Jason Wyngarde (Earth-616),Secret Identity,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,No,Mar-64,1964
27860,Parker Robbins (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Jul-02,2002
1146,Georges Batroc (Earth-616),No Dual Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Mar-66,1966
1254,Henry Camp (Earth-616),Public Identity,Brown Eyes,Black Hair,Male Characters,Deceased Characters,No,Nov-74,1974
2474,Todd Arliss (Earth-616),Secret Identity,Grey Eyes,No Hair,Male Characters,Living Characters,Yes,Sep-68,1968
1786,Hammerhead (Joseph) (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Living Characters,No,Oct-72,1972
1141,Heinrich Zemo (Earth-616),Public Identity,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,No,Mar-64,1964
1025,Emil Blonsky (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Male Characters,Living Characters,No,Apr-67,1967
2484,Lonnie Lincoln (Earth-616),Public Identity,Pink Eyes,White Hair,Male Characters,Living Characters,Yes,Mar-88,1988
1091,Arcade (Earth-616),Secret Identity,Blue Eyes,Red Hair,Male Characters,Living Characters,Yes,Jan-78,1978
4703,Mary Walker (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Female Characters,Living Characters,No,May-88,1988
9851,Morris Bench (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Jan-81,1981
1984,David Cannon (Earth-616),Public Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,No,Dec-63,1963
1825,Roderick Kingsley (Earth-616),Public Identity,Blue Eyes,Grey Hair,Male Characters,Living Characters,Yes,Jun-80,1980
5513,Mary MacPherran (Earth-616),Secret Identity,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,No,Jul-84,1984
1610,Leland Owlsley (Earth-616),Public Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,No,Aug-64,1964
2389,Karl Lykos (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Aug-69,1969
1877,Jason Macendale Jr. (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Deceased Characters,No,Feb-81,1981
2314,Phillip Masters (Earth-616),Public Identity,Brown Eyes,Bald,Male Characters,Deceased Characters,No,Nov-62,1962
1138,Karl Mordo (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Deceased Characters,No,Aug-63,1963
1955,Yuriko Oyama (Earth-616),Secret Identity,Brown Eyes,Black Hair,Female Characters,Living Characters,Yes,Aug-83,1983
4149,Phillip Urich (Earth-616),Secret Identity,Green Eyes,Brown Hair,Male Characters,Living Characters,No,Jun-95,1995
1745,Paul Duval (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,Yes,Aug-64,1964
1207,Blastaar (Earth-616),Secret Identity,Grey Eyes,Grey Hair,Male Characters,Living Characters,Yes,May-67,1967
1120,Attuma (Earth-616),No Dual Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Dec-64,1964
1748,Eric Williams (Earth-616),Public Identity,Blue Eyes,Grey Hair,Male Characters,Living Characters,No,May-68,1968
2520,Selene Gallio (Earth-616),Secret Identity,Brown Eyes,Black Hair,Female Characters,Living Characters,No,Nov-83,1983
44158,Norman Harold Osborn (Earth-616),No Dual Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,No,Apr-85,1985
1573,Ulik (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Feb-67,1967
24456,Sinthea Shmidt (Earth-616),Public Identity,Brown Eyes,No Hair,Female Characters,Living Characters,Yes,Feb-84,1984
1341,Klaus Voorhees (Earth-616),Public Identity,Blue Eyes,Bald,Male Characters,Living Characters,No,Nov-63,1963
1529,Skurge (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Apr-64,1964
2028,Arthur Parks (Earth-616),,Variable Eyes,Variable Hair,Male Characters,Living Characters,Yes,Nov-66,1966
1776,Donald Pierce (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,No,Jan-80,1980
3891,Bastion (Earth-616),Secret Identity,Hazel Eyes,White Hair,Male Characters,Deceased Characters,No,May-96,1996
2385,Satana Hellstrom (Earth-616),No Dual Identity,Red Eyes,Red Hair,Female Characters,Living Characters,No,Oct-73,1973
15203,Zheng Zu (Earth-616),Secret Identity,Green Eyes,Black Hair,Male Characters,Deceased Characters,No,Dec-73,1973
2294,Zelda DuBois (Earth-616),Public Identity,Green Eyes,Auburn Hair,Female Characters,Living Characters,Yes,Mar-65,1965
2632,Surtur (Earth-616),No Dual Identity,Yellow Eyes,Red Hair,Male Characters,Deceased Characters,No,Oct-63,1963
7720,Michael Badilino (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Deceased Characters,No,Jan-92,1992
1622,Maria Callasantos (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,No,Mar-91,1991
2508,Ebenezer Laughton (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Mar-64,1964
9518,Pluto (Olympian) (Earth-616),Secret Identity,Grey Eyes,Black Hair,Male Characters,Deceased Characters,No,Apr-66,1966
1107,Arnim Zola (Earth-616),No Dual Identity,,No Hair,Male Characters,Living Characters,Yes,Apr-77,1977
1197,Thomas Cassidy (Earth-616),Public Identity,Blue Eyes,Black Hair,Male Characters,Living Characters,Yes,Jun-76,1976
1747,John Horton (Earth-616),Public Identity,Yellow Eyes,Yellow Hair,Male Characters,Living Characters,No,Nov-72,1972
3333,Samuel Smithers (Earth-616),Public Identity,Green Eyes,Grey Hair,Male Characters,Living Characters,Yes,Oct-63,1963
2610,Wilbur Day (Earth-616),Public Identity,Blue Eyes,Bald,Male Characters,Deceased Characters,No,Jun-65,1965
2742,Silvio Manfredi (Earth-616),Public Identity,Blue Eyes,Silver Hair,Male Characters,Living Characters,No,Jun-69,1969
2363,Richard Fisk (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,No,Apr-70,1970
1434,Esteban Coraz\u00f3n de Ablo (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Sep-64,1964
2143,Marvin Flumm (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,Yes,Feb-66,1966
1270,Cameron Hodge (Earth-616),Public Identity,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,No,Feb-86,1986
2339,Ivan Kragoff (Earth-616),Secret Identity,Brown Eyes,Grey Hair,Male Characters,Living Characters,Yes,Apr-63,1963
10092,Marco Scarlotti (Earth-616),Public Identity,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,No,Jan-68,1968
2481,Boris Bullski (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,No,Sep-65,1965
1627,Fin Fang Foom (Earth-616),Secret Identity,Red Eyes,No Hair,Male Characters,Living Characters,No,Oct-61,1961
2059,Samuel Saxon (Earth-616),Public Identity,Brown Eyes,Bald,Male Characters,Living Characters,No,Feb-69,1969
1066,Blanche Sitznski (Earth-616),Secret Identity,Green Eyes,Blond Hair,Female Characters,Living Characters,No,Jun-80,1980
1530,Bennet du Paris (Earth-616),Secret Identity,White Eyes,Black Hair,Male Characters,Living Characters,No,Jul-93,1993
2100,Jerome Beechman (Earth-616),Public Identity,Black Eyes,Brown Hair,Male Characters,Living Characters,No,Jun-73,1973
2449,Tyros (Earth-616),Public Identity,Grey Eyes,No Hair,Male Characters,Deceased Characters,No,Oct-79,1979
117507,Criti Noll (Clone) (Earth-616),Secret Identity,Green Eyes,No Hair,Female Characters,Deceased Characters,No,Sep-06,2006
1355,Basil Sandhurst (Earth-616),Secret Identity,White Eyes,Black Hair,Male Characters,Living Characters,Yes,Apr-69,1969
2526,Shadow King (Earth-616),,Red Eyes,No Hair,Male Characters,Living Characters,Yes,Jan-79,1979
3145,William Cross (Earth-616),Secret Identity,Blue Eyes,White Hair,Male Characters,Living Characters,Yes,Jun-79,1979
2504,Romulus Augustulus (Earth-616),Secret Identity,Brown Eyes,Blond Hair,Male Characters,Living Characters,No,Jan-63,1963
5625,Super-Adaptoid (Earth-616),Secret Identity,Black Eyes,No Hair,Male Characters,Living Characters,Yes,Oct-66,1966
2188,Morgan le Fay (Earth-616),No Dual Identity,Green Eyes,Purple Hair,Female Characters,Living Characters,No,May-55,1955
1365,Luchino Nefaria (Earth-616),Public Identity,Blue Eyes,Black Hair,Male Characters,Living Characters,Yes,Feb-65,1965
5417,Douglas Scott (Earth-616),Secret Identity,Blue Eyes,Bald,Male Characters,Living Characters,No,Oct-81,1981
1769,Justin Hammer (Earth-616),Public Identity,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,No,Mar-79,1979
2669,Michael Steel (Earth-616),Secret Identity,White Eyes,No Hair,Male Characters,Living Characters,Yes,Dec-80,1980
104599,Lily Hollister (Earth-616),Public Identity,Brown Eyes,Black Hair,Female Characters,Living Characters,No,Jan-08,2008
2502,Tyr Odinson (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Oct-62,1962
2316,Zebediah Killgrave (Earth-616),Public Identity,Purple Eyes,Purple Hair,Male Characters,Living Characters,Yes,Oct-64,1964
1738,En Dwi Gast (Earth-616),Secret Identity,Red Eyes,White Hair,Male Characters,Living Characters,No,Oct-69,1969
1739,Franklin Hall (Earth-616),Public Identity,Blue Eyes,White Hair,Male Characters,Living Characters,No,Apr-77,1977
10106,Simon Utrecht (Earth-616),Secret Identity,Brown Eyes,Grey Hair,Male Characters,Living Characters,No,Dec-80,1980
2403,Vertigo (Savage Land Mutate) (Earth-616),Secret Identity,Blue Eyes,Green Hair,Female Characters,Deceased Characters,No,Mar-82,1982
2141,Bruno Horgan (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Nov-63,1963
2692,Man-Beast (Earth-616),Secret Identity,Red Eyes,Brown Hair,Male Characters,Living Characters,Yes,Nov-66,1966
1599,Arkady Rossovich (Earth-616),Secret Identity,Red Eyes,Blond Hair,Male Characters,Deceased Characters,No,Jan-92,1992
1556,Plan Chu (Earth-616),Secret Identity,Blue Eyes,Bald,Male Characters,Deceased Characters,No,Oct-56,1956
10108,James Darnell (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Dec-80,1980
57175,Carnage (Symbiote) (Earth-616),Public Identity,White Eyes,No Hair,Agender Characters,Living Characters,Yes,Mar-92,1992
2234,Robert Hunter (Earth-616),Public Identity,Blue Eyes,White Hair,Male Characters,Living Characters,Yes,Sep-74,1974
1602,Onslaught (Psychic Entity) (Earth-616),Secret Identity,Red Eyes,No Hair,Male Characters,Living Characters,No,May-96,1996
1944,Kro (Earth-616),Secret Identity,Red Eyes,Bald,Male Characters,Living Characters,Yes,Aug-40,1940
2677,Billy Russo (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Oct-76,1976
2585,Anath-Na Mut (Earth-616),Secret Identity,Red Eyes,Bald,Male Characters,Living Characters,Yes,Feb-77,1977
8096,Daniel Brito (Earth-616),Public Identity,Brown Eyes,Black Hair,Male Characters,Deceased Characters,No,Mar-64,1964
8189,Jackson Brice (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Mar-64,1964
1094,Philippa Sontag (Earth-616),Secret Identity,Violet Eyes,Black Hair,Female Characters,Living Characters,No,Oct-86,1986
2655,Hera Argeia (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Female Characters,Living Characters,No,Apr-49,1949
1451,Johann Fennhoff (Earth-616),Public Identity,Blue Eyes,Red Hair,Male Characters,Living Characters,Yes,Nov-68,1968
2209,Nebula (Earth-616),Secret Identity,Blue Eyes,Bald,Female Characters,Living Characters,No,Jul-85,1985
3923,Blackout (Lilin) (Earth-616),Secret Identity,Red Eyes,White Hair,Male Characters,Living Characters,No,Jun-90,1990
5562,Garrison Kane (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Sep-91,1991
14945,Psycho-Man (Earth-616),Secret Identity,Yellow Eyes,,Male Characters,Living Characters,No,Nov-67,1967
107958,Mister Negative (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Jun-07,2007
2525,Seth (Earth-616),No Dual Identity,Brown Eyes,Red Hair,Male Characters,Living Characters,No,Oct-75,1975
7419,Turk Barrett (Earth-616),Public Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Oct-70,1970
1511,Manuel de la Rocha (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Jun-84,1984
1797,Kodiak Noatak (Earth-616),Secret Identity,,Red Hair,Male Characters,Living Characters,Yes,Oct-86,1986
1367,Graydon Creed (Earth-616),No Dual Identity,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,No,Jan-93,1993
1897,Max Eisenhardt (Joseph) (Earth-616),Secret Identity,Blue Eyes,White Hair,Male Characters,Living Characters,Yes,Dec-95,1995
2493,Seward Trainer (Earth-616),No Dual Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Jan-95,1995
1582,Gunther Bain (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Nov-64,1964
1536,Maximillian Zaran (Earth-616),No Dual Identity,Blue Eyes,Red Hair,Male Characters,Living Characters,No,Jun-79,1979
2035,Llyra Morris (Earth-616),No Dual Identity,Green Eyes,Green Hair,Female Characters,Living Characters,No,Dec-70,1970
19486,Alexei Kravinoff (Earth-616),Public Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Feb-97,1997
2628,Deidre Wentworth (Earth-616),Secret Identity,Blue Eyes,Black Hair,Female Characters,Living Characters,No,Jul-91,1991
1363,Fabian Cortez (Earth-616),Public Identity,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,No,Oct-91,1991
1577,Umar (Earth-616),Public Identity,Green Eyes,Black Hair,Female Characters,Living Characters,Yes,Nov-66,1966
18102,Satannish (Earth-616),Secret Identity,Multiple Eyes,,Male Characters,Deceased Characters,No,Nov-68,1968
12979,Blood Brothers (Earth-616),,Red Eyes,No Hair,Male Characters,Living Characters,Yes,Feb-73,1973
2214,Nekra Sinclair (Earth-616),Secret Identity,Black Eyes,Black Hair,Female Characters,Deceased Characters,No,Aug-73,1973
2045,Lorelei (Asgardian) (Earth-616),No Dual Identity,Blue Eyes,Red Hair,Female Characters,Living Characters,Yes,Nov-83,1983
19524,Frances Barrison (Earth-616),Public Identity,Blue Eyes,Blue Hair,Female Characters,Living Characters,Yes,May-93,1993
103136,Thakorr (Earth-616),No Dual Identity,,No Hair,Male Characters,Deceased Characters,No,,
16582,Baron Karza (Earth-616),No Dual Identity,Red Eyes,Black Hair,Male Characters,Living Characters,Yes,Jan-79,1979
12123,Regan Wyngarde (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Female Characters,Living Characters,Yes,Dec-01,2001
2276,Edgar Plunder (Earth-616),Secret Identity,Black Eyes,Grey Hair,Male Characters,Living Characters,No,Jan-66,1966
1499,Elihas Starr (Earth-616),Public Identity,Blue Eyes,Bald,Male Characters,Deceased Characters,No,Dec-62,1962
5399,Stuart Clarke (Earth-616),Public Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Apr-76,1976
2090,Malekith (Earth-616),No Dual Identity,Blue Eyes,Blond Hair,Male Characters,Living Characters,Yes,Jun-84,1984
17454,Oswald Silkworth (Earth-616),Secret Identity,Brown Eyes,Bald,Male Characters,Deceased Characters,No,Feb-84,1984
21052,Gabriel Summers (Earth-616),Public Identity,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,No,Jan-06,2006
61995,Miek (Earth-616),No Dual Identity,Yellow Eyes,No Hair,Male Characters,Deceased Characters,No,Apr-06,2006
126872,Maki Matsumoto (Earth-616),Secret Identity,Brown Eyes,Black Hair,Female Characters,Living Characters,Yes,Nov-08,2008
7181,Robert Baxter (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Living Characters,No,Nov-44,1944
15058,Mordred (Earth-616),Public Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,May-55,1955
2030,Ahmet Abdol (Earth-616),Public Identity,Red Eyes,Bald,Male Characters,Living Characters,Yes,Mar-69,1969
1135,John Falsworth (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Jul-76,1976
4610,Eshu (Earth-616),Secret Identity,Green Eyes,Black Hair,Male Characters,Deceased Characters,No,Sep-83,1983
14412,Void (Dark Sentry) (Earth-616),Secret Identity,Orange Eyes,Black Hair,Male Characters,Deceased Characters,No,Sep-00,2000
1578,Milos Masaryk (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Living Characters,No,Aug-64,1964
183246,Noah Black (Earth-616),Secret Identity,Brown Eyes,Bald,Male Characters,Living Characters,Yes,Jul-68,1968
1360,Jackson Day (Earth-616),Secret Identity,Red Eyes,White Hair,Male Characters,Living Characters,Yes,Dec-76,1976
2369,Thursday Rubinstein (Earth-616),Secret Identity,,No Hair,Female Characters,Living Characters,No,Feb-76,1976
1155,Belasco (Earth-616),Secret Identity,Black Eyes,Brown Hair,Male Characters,Living Characters,Yes,Feb-82,1982
1498,Edward Lavell (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Apr-83,1983
15272,Frank Simpson (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,No,Jul-86,1986
1382,Silas Burr (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Sep-91,1991
2491,Carolyn Trainer (Earth-616),Secret Identity,,Pink Hair,Female Characters,Living Characters,Yes,Sep-95,1995
16464,Tomi Shishido (Earth-616),Secret Identity,Green Eyes,Black Hair,Male Characters,Living Characters,No,Dec-04,2004
1773,Blackheart (Earth-616),No Dual Identity,Red Eyes,Black Hair,Male Characters,Living Characters,No,Sep-89,1989
2337,Pantu Hurageb (Earth-616),,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Feb-90,1990
129903,Algernon Crowe (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Jul-92,1992
3978,Justine Hammer (Earth-616),Secret Identity,Blue Eyes,Black Hair,Female Characters,Deceased Characters,No,Jun-97,1997
1262,Byrrah (Earth-616),Public Identity,Blue Eyes,Blond Hair,Male Characters,Living Characters,No,Aug-54,1954
2716,Daniel Berkhart (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,No,Feb-75,1975
1926,Simon Maddicks (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Jan-77,1977
1594,Obadiah Stane (Earth-616),Public Identity,Blue Eyes,Bald,Male Characters,Deceased Characters,No,Oct-82,1982
2124,Martin Preston (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Living Characters,No,Jan-86,1986
19217,Nick Katzenberg (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,May-89,1989
7140,Kuan-Yin Xorn (Earth-616),Secret Identity,,,Male Characters,Deceased Characters,No,Sep-01,2001
1497,Leopold Stryke (Earth-616),Public Identity,Green Eyes,Brown Hair,Male Characters,Deceased Characters,No,Sep-63,1963
2734,Raymond Bloch (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Mar-64,1964
21486,Mendel Stromm (Earth-616),Secret Identity,Red Eyes,Bald,Male Characters,Living Characters,Yes,Jun-66,1966
24592,Yon-Rogg (Earth-616),Public Identity,,Brown Hair,Male Characters,Living Characters,No,Dec-67,1967
1134,Barbarus (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Nov-69,1969
1759,Sybil Dvorak (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Female Characters,Living Characters,Yes,Jan-79,1979
18866,Daniel Leighton (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,Yes,Jan-80,1980
2598,Johnathon Ohnn (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,No,Jan-85,1985
2026,Kiskillilla (Earth-616),Secret Identity,Yellow Eyes,Black Hair,Female Characters,Deceased Characters,No,Aug-92,1992
16964,Sarah Ryall (Earth-616),Public Identity,Blue Eyes,Blond Hair,Female Characters,Living Characters,No,Dec-92,1992
19228,Jacob Conover (Earth-616),Secret Identity,,Black Hair,Male Characters,Living Characters,Yes,Mar-76,1976
